gen,House overall,Dishwasher
-943.3602449098006,69.9154372040364,1101.1705272792576
-943.4095129677812,70.04878888459564,1101.1552842727856
-943.3715148445375,69.91335294904106,1101.1287281908787
-943.3630718595119,69.60748418658784,1101.1916277789965
-943.357428749861,69.56210721954618,1101.1921815254836
-943.3892615850466,69.99093413206197,1101.0251172674843
-943.3758816976862,70.33981283595993,1101.0638945639787
-943.3892014957115,70.71214802228016,1101.1395694421667
-943.4044616427875,70.46028500800885,1101.1583604389914
-943.3833652035962,70.17314750135479,1101.2139663594953
-943.3940792587354,70.49620047396168,1101.2708993818233
-943.4131231150387,69.96584646043001,1101.3073461564813
-943.4321914318593,69.60508426534656,1101.2932794489927
-943.4389743216068,69.73934474887821,1101.2809539383456
-943.3992812232627,69.88253684459784,1101.3076114101098
-943.4044304541974,69.58279772258248,1101.224443750501
-943.4237166713624,70.21551330839617,1101.147070722153
-943.4308538074896,70.43002298158369,1101.105027104727
-943.3988662667333,70.88141498170164,1101.1072663267112
-943.4085313334394,70.76446865098647,1101.1662021941981
-943.3874698195058,70.4135690548138,1101.120722984625
-943.3999655683655,70.00081613417349,1101.0974046877268
-943.3774031548837,70.70471863370538,1101.1143082615586
-943.3959904999041,71.32959455187381,1101.1722274288334
-943.3938948929801,71.11125186381867,1101.1069733601046
-943.3801646576253,70.4238940487376,1101.0719054893045
-943.3801062839689,70.02903572981121,1101.1265548874592
-943.3725296130733,70.19628081633122,1101.0174564715808
-943.412392818422,70.13851714680926,1100.9558929934044
-943.4188559003534,70.3162125687364,1100.9395613354234
-943.4049724939111,69.90183607222649,1100.7960355149755
-943.3876217384956,69.75311499953109,1100.6889533814162
-943.356151329313,69.61223938893282,1100.704045539896
-943.3784314275537,70.01078521857953,1100.6871921455338
-943.388698914058,69.9437283672486,1100.6617149716346
-943.3776833700707,70.05770029080163,1100.5981910542077
-943.388086536255,70.16748503316992,1100.634764526806
-943.3710225758897,69.66238664324874,1100.6098875748412
-943.3584182700812,70.03796642915697,1100.608692311681
-943.3512351591403,70.43005154892744,1100.5934241650477
-943.3537677335556,70.59766595206881,1100.5391612970557
-943.3556253711372,70.48057363429785,1100.559023691059
-943.3684721621528,70.91850666736802,1100.5313046650729
-943.3619054991929,70.91106198697432,1100.5594986617755
-943.3529858805585,71.01509104125958,1100.63703061564
-943.3130729390141,70.14342322959459,1100.7825115203534
-943.3146316551431,69.83424472424176,1100.852723201968
-943.3095618926404,70.40368090251853,1100.9412735587716
-943.2965800052452,70.09915037713091,1100.9042146590853
-943.3084499219011,69.83505440841229,1100.8727845445828
-943.3213845379914,69.86181996180956,1100.9241011038232
-943.2893243832586,69.8985252696228,1100.9955185367733
-943.2922873517921,70.38350528649902,1101.0485369735068
-943.3015832386004,70.58136860520658,1101.087108832193
-943.2643372659435,70.54679075535718,1101.1093827714426
-943.2806929816736,70.64036706869989,1101.2120298451346
-943.3027285588237,70.61805891360245,1101.2382230939722
-943.285387688059,70.3978625316795,1101.188074805134
-943.2424466532568,70.57636633569938,1101.0354955312903
-943.2400793812799,70.67298723647603,1101.0063710912557
-943.2450794610166,70.73629610722307,1101.060671425172
-943.2754020668988,70.811083505814,1100.9769170909813
-943.2806096685594,70.6400902126635,1100.9761540262655
-943.2853669822707,70.6473488091948,1100.9725398803826
-943.2790920493461,70.5147279702988,1100.940677168903
-943.2921759388746,71.03699151974334,1100.9569746005973
-943.2681052935699,71.4522357617512,1100.86255753857
-943.2704768327197,71.23211328941697,1100.9094106242867
-943.2325467041234,70.94725469228099,1100.9781596069183
-943.2736680291387,70.5379847211986,1100.9579865817432
-943.2676884497827,70.5330383810626,1100.93408486625
-943.2505784477951,70.87088513160477,1100.962145446931
-943.2388405831625,70.68097221880176,1100.8843809451457
-943.2640585262843,70.21158154919017,1100.8139651935614
-943.2702117130059,70.16391147473662,1100.7810461970573
-943.2795754860862,70.24090926500853,1100.7933387483913
-943.2704568756228,70.42549388174209,1100.7704429489197
-943.2814028398707,70.97313249012062,1100.765808793579
-943.240904790192,70.87329362393628,1100.8122975151496
-943.2298725610793,70.73502273602806,1100.763669348542
-943.2098968945705,70.98099338005241,1100.789058791426
-943.2289473546683,70.27943821693387,1100.727564915017
-943.2287665610459,70.03253126695785,1100.711446814367
-943.2626147619062,70.35133244226135,1100.7910050532978
-943.281713544234,70.47793630728437,1100.779838346003
-943.2794390271633,70.80631230576624,1100.7512032275254
-943.276922886324,70.20857498404854,1100.7844759579934
-943.2407708650204,69.97057618148736,1100.745423304928
-943.2596252228575,69.66712875241569,1100.744464585897
-943.2739853455998,69.45650796877784,1100.6809347313333
-943.3240782504643,69.48571624996404,1100.5969731720186
-943.2965973231176,69.31066539875904,1100.612796236293
-943.2735772724392,69.37808949018552,1100.6855667503617
-943.2468250171618,70.02170008595195,1100.7103762403547
-943.2207260815856,70.25863858976423,1100.6689362601658
-943.2216348691044,70.69534167199802,1100.5812597899267
-943.21489383918,70.59814764821033,1100.4694666194212
-943.2107976720636,70.44727311772381,1100.3297401389923
-943.2218341528542,70.0747119215905,1100.3316072118532
-943.2002626823736,70.22178248386203,1100.3988177808565
-943.2071384538597,70.01660035112467,1100.3687069779915
-943.1993646827327,69.59546473708389,1100.4039172649616
-943.1810383758483,70.17459743233455,1100.4614935243465
-943.173510992343,70.19397402715852,1100.406603662556
-943.2015171509497,70.379616466407,1100.3443032055693
-943.2065266538159,70.6859378636995,1100.305163672517
-943.2159499721391,70.68811308107901,1100.2605471140969
-943.1914750918806,70.58250406327534,1100.2448613069373
-943.1536173072693,70.49263714887798,1100.250367786617
-943.1560348434055,70.49588495590173,1100.150819642909
