gen,House overall,Dishwasher
-1085.6533896628807,658.2001656860971,1153.1734546118582
-1085.6365807142022,658.2400278198995,1153.1492833013262
-1085.6433929284544,657.9958228356797,1153.1613129462087
-1085.6242092341727,657.5870898191495,1153.1632924814587
-1085.615417839868,656.9575804021622,1153.2849284132226
-1085.6194049502633,656.659897164927,1153.334435253862
-1085.6185274604788,656.8600887891778,1153.3054813327344
-1085.6293708885585,657.1525753243899,1153.2845786234952
-1085.6618384605367,657.6956048101882,1153.271000140752
-1085.6720953548881,657.8713595960401,1153.2845985913114
-1085.6851860778088,657.9067690153112,1153.1624456353663
-1085.6869751214363,657.8053496051066,1153.1157129489648
-1085.6853396676725,657.4030933212366,1153.1137453155588
-1085.7032137583717,657.5285565290822,1153.1661028334945
-1085.6766407251935,657.6945046879938,1153.1695453026487
-1085.6420936490724,657.6324823089874,1153.1603304676325
-1085.661673839026,658.0791821317795,1153.099467693143
-1085.6568550183424,657.6298042618913,1153.1541482916743
-1085.6293019650404,657.7291849986517,1153.1184318043154
-1085.6129894373655,657.2673289800607,1153.0719524509284
-1085.6218005195778,657.0712559580579,1152.9729914956038
-1085.627628657195,657.0459393801178,1152.947475968313
-1085.6403573420544,657.4926403214429,1152.9032471161222
-1085.6630079985894,657.9044598397422,1152.941835846116
-1085.628953616678,657.8414046999277,1152.9554824342763
-1085.6175989563603,657.1964870051439,1152.906520518038
-1085.6533649276369,656.9277185232007,1152.8618601094975
-1085.6435610044914,656.6275615284163,1152.8364353649226
-1085.6077820493804,657.0630293202064,1152.7786709478364
-1085.6139358897472,657.7360727289906,1152.7780431116387
-1085.5954151645667,657.8499966680328,1152.8569944072221
-1085.6083090879722,658.0458936524898,1152.7188450426768
-1085.6285948118389,657.7548054407516,1152.6050358035552
-1085.6295295823231,657.6692604301054,1152.611340570643
-1085.6118811625324,657.3332472967073,1152.6140120422253
-1085.5975940084072,657.478206087997,1152.687185574577
-1085.614224553917,657.6667421318566,1152.6699508283073
-1085.6115526664955,657.5837693633997,1152.6452983329668
-1085.6108434870837,657.6158482806394,1152.6941370076063
-1085.6098452458982,657.9062199235879,1152.624069594786
-1085.590717477026,657.8631232943728,1152.6391242307652
-1085.6020638229027,657.6009410095562,1152.652002332571
-1085.5875255191322,657.7189260234333,1152.6685789261091
-1085.586740376577,658.1919433909178,1152.64492873899
-1085.5984995248928,658.0490007256425,1152.604402118868
-1085.6076248047414,657.4412481915782,1152.5792149993315
-1085.5794955938504,657.0775746130433,1152.6265838848879
-1085.6050870218862,657.0188945282956,1152.613684101933
-1085.6147334419475,657.4395516984938,1152.7181366041348
-1085.5827430303127,657.5431509364134,1152.7236360713493
-1085.5837059877338,657.7196553062054,1152.6311127139006
-1085.616013000497,657.557977715258,1152.6095192494965
-1085.6157932541216,657.5411908456651,1152.6170124778387
-1085.5793720714416,657.2011063516728,1152.6685502852906
-1085.6094515158834,657.2021225325261,1152.6420546759975
-1085.6229101202405,657.4492300142301,1152.6061955141872
-1085.625744336069,657.6154801302938,1152.613857111871
-1085.6443715153168,657.6137243012365,1152.5429919257936
-1085.6460987644134,657.4107651792243,1152.5053794075882
-1085.6393909589929,657.3985609789622,1152.4169368070613
-1085.6290205043056,657.5353718210706,1152.4384548027094
-1085.5971155176246,658.244841843795,1152.5238376615594
-1085.6139196206016,658.2478450087042,1152.5936875743514
-1085.6231375690747,658.5865155523105,1152.5919456441509
